timestamp,actual_output_kw,irradiance_w_m2,temperature_c,wind_speed_m_s,expected_power_kw
2024-01-01 08:00:00,150.5,400.0,20.5,5.2,160.0
2024-01-01 09:00:00,280.2,650.0,22.1,6.8,300.0
2024-01-01 10:00:00,410.8,850.0,24.5,8.1,420.0
2024-01-01 11:00:00,450.0,950.0,26.2,9.5,470.0
2024-01-01 12:00:00,465.3,1000.0,28.0,10.2,490.0
2024-01-01 13:00:00,100.2,980.0,29.5,9.8,485.0
2024-01-01 14:00:00,430.1,900.0,29.1,8.4,450.0
2024-01-01 15:00:00,380.7,750.0,27.5,7.2,400.0
2024-01-01 16:00:00,210.4,450.0,25.3,5.5,230.0
2024-01-01 17:00:00,50.1,150.0,23.0,3.1,60.0
